_id,username,uid,attraction_review_name,nb_cities_visited,src,nb_contributions
ObjectID(5c2e9569aed964506ce1871f),"455benoitr","990771B8ED41575A1F3A7B4B91F0534B","Tour Eiffel","3","607696668","4"
ObjectID(5c2e956caed964506ce18720),"132shirleyk","70A97A266A6DBBAB05FD26C4C0505470","Tour Eiffel","6","608147118","10"
ObjectID(5c2e956faed964506ce18721),"17tessilimik","F14D3F77D289104F8C8DA913389FC2E0","Tour Eiffel","9","608423758","24"
ObjectID(5c2e9572aed964506ce18722),"630tristang","7A118553078F19116C2CAF4D657F10C6","Tour Eiffel","12","608811348","62"
ObjectID(5c2e9574aed964506ce18723),"manu3173","947A2DEBB248FB8469F261301601BA23","Tour Eiffel","7","609188092","13"
ObjectID(5c2e9575aed964506ce18724),"947davinae","226AE45BFE037F50DCB2B152615983CD","Tour Eiffel","5","609764507","12"
ObjectID(5c2e9578aed964506ce18725),"Dominique07C","EE78057BF0E97E515A986EF0A7F7FD17","Tour Eiffel","206","610200041","143"
ObjectID(5c2e957aaed964506ce18726),"audreyd407","27A2AEB8A5A2E0EEEF37556FB68C91B7","Tour Eiffel","3","610795331","15"
ObjectID(5c2e957daed964506ce18727),"emmadV7042JI","245467991579B52F4F1F58CBCF2F02AF","Tour Eiffel","8","611488946","13"
ObjectID(5c2e957faed964506ce18728),"160ad_la_del","E98969272296AB9A98D0A0359FBDC6E0","Tour Eiffel","3","612003724","8"
ObjectID(5c2e9582aed964506ce18729),"stephbpm2016","7268AB25C73B9BED3F71E4A404744050","Tour Eiffel","24","612614870","45"
ObjectID(5c2e9584aed964506ce1872a),"josselinezabel","5CF1165A666A1F56F3B4B0CC71B16BF8","Tour Eiffel","1 ville visitée","612831914","13"
ObjectID(5c2e9587aed964506ce1872b),"dinacuni","FCBB4BE4996F3785538F6D5051762E44","Tour Eiffel","4","613316123","5"
ObjectID(5c2e958aaed964506ce1872c),"jocelyneRochefort","798A51B299D914EBFD98988A61E7A7FE","Tour Eiffel","34","614322929","78"
ObjectID(5c2e958baed964506ce1872d),"morganej70718","DC97A85B7EE65DE809AE174D5465CEC5","Tour Eiffel","10","615075633","14"
ObjectID(5c2e958eaed964506ce1872e),"sissou346","7D4C46D45D2B1C44079E1966C512CD92","Tour Eiffel","2","343958138","5"
ObjectID(5c2e9591aed964506ce1872f),"430k_vinh","A952B48A676E02F02316B2D74FBA8F74","Tour Eiffel","2","344009054","6"
ObjectID(5c2e9593aed964506ce18730),"kristie4","11C158F1CBCC4CC1677D7019B890B062","Tour Eiffel","14","1419881","12"
ObjectID(5c2e9595aed964506ce18731),"Inspiration5030","A2312C14D77CBE691C02A5C98F9CAEA6","Tour Eiffel","250","1552168","1 contribution"
ObjectID(5c2e9598aed964506ce18732),"Cosmopolitan10170","D458EC9D18C34E9096AC2FA502100792","Tour Eiffel","1 ville visitée","1726805","1 contribution"
ObjectID(5c2e959aaed964506ce18733),"Quest10543","43D30F2041AED70E9F2CA4A4FA773B24","Tour Eiffel","2","1765534","5"
ObjectID(5c2e959caed964506ce18734),"MKefer","EED30B20833D12A2168A9DA2267D57AE","Tour Eiffel","2","2223758","3"
ObjectID(5c2e959eaed964506ce18735),"Culture30058","96B20A5E059FA9EDE7DCAE0EAE2C4C11","Tour Eiffel","1 ville visitée","2269014","1 contribution"
ObjectID(5c2e95a1aed964506ce18736),"PSUalum14","0941BEFDAB12DBF4CE2B7F79571C6AE3","Tour Eiffel","9","2305758","14"
ObjectID(5c2e95a4aed964506ce18737),"Pepperpotpaws","F0BCEBFC7EEB2243F18F05509D65CF4F","Tour Eiffel","166","344030447","47"
ObjectID(5c2e95a6aed964506ce18738),"StephanieD184","F43C2408AF9BC94936875B986E74C503","Tour Eiffel","87","344061027","74"
ObjectID(5c2e95a9aed964506ce18739),"VaJoesChick","621C083383B3B598D2EF098C5938C59F","Tour Eiffel","9","344119004","18"
ObjectID(5c2e95aaaed964506ce1873a),"meggierobieu","B99CC1FB14540BBB0B51413B3D077B94","Tour Eiffel","1 ville visitée","344138622","2"
ObjectID(5c2e95adaed964506ce1873b),"julien_ri","13DE4324DA71B30D3212A508BC90017D","Tour Eiffel","143","344169453","214"
ObjectID(5c2e95afaed964506ce1873c),"mathieuh342","226D1B1661DC093328B197E8833BD7F7","Tour Eiffel","15","344188631","51"
ObjectID(5c2e95b2aed964506ce1873d),"clairement80","F52BD7C70BA0848F1E769E398C7EE987","Tour Eiffel","14","344189446","26"
ObjectID(5c2e95b4aed964506ce1873e),"115mariannej","3901EE773C51AF284D48916218FE65FC","Tour Eiffel","108","344191844","10"
ObjectID(5c2e95b7aed964506ce1873f),"carinne57","60C079BDD9B2FB663448A3F83D8AF781","Tour Eiffel","1 ville visitée","615098579","3"
ObjectID(5c2e95b8aed964506ce18740),"Gunners2687","107D51DC387D008A5B0B4F18E8418198","Tour Eiffel","52","615145575","212"
ObjectID(5c2e95bbaed964506ce18741),"Kwyz3","1C4A4867C3781BF447D2C74B71B84D74","Tour Eiffel","2","615170383","14"
ObjectID(5c2e95beaed964506ce18742),"CarolineRad","7E2B3A80C0A1F6EDAAD2AA0B6EB97096","Tour Eiffel","26","615278018","52"
ObjectID(5c2e95c0aed964506ce18743),"wagabasket","10EBA62E1EAF6D46067E1021EA493E13","Tour Eiffel","14","615279975","31"
ObjectID(5c2e95c2aed964506ce18744),"L8912DHamandineb","8D3786229AC10ECD90840E5C339662EB","Tour Eiffel","5","615337136","6"
ObjectID(5c2e95c4aed964506ce18745),"evaaC7762OZ","871C1CA2C9E3FF6C2E2F71C4FC3CE511","Tour Eiffel","11","615356449","38"
ObjectID(5c2e95c7aed964506ce18746),"333claudep","712B26C55061479ED7EA0014454DCA78","Tour Eiffel","58","615362944","90"
ObjectID(5c2e95c9aed964506ce18747),"Riohome","30382AC1568B1073D16466C16CE93B9C","Tour Eiffel","354","615406431","17"
ObjectID(5c2e95cbaed964506ce18748),"lised824","87B2FE46EF95EF3DC6801773A2AF2247","Tour Eiffel","34","614654604","93"
ObjectID(5c2e95ceaed964506ce18749),"colibric2018","411607A05B85D3B1E666EB712894622C","Tour Eiffel","2","614691799","4"
ObjectID(5c2e95d0aed964506ce1874a),"763pf","9BE4BBFBF58229543AC00B5738688E75","Tour Eiffel","62","614751164","128"
ObjectID(5c2e95d3aed964506ce1874b),"ajaiste","F5C43CEDD01C0C75995B3DD190A65E05","Tour Eiffel","8","614771541","15"
ObjectID(5c2e95d5aed964506ce1874c),"327laetitiar","C44C31645558AC1189E874DE534BA5F0","Tour Eiffel","14","614920943","27"
ObjectID(5c2e95d8aed964506ce1874d),"346aureliel","99CE8C82FD10B9B4BF845C9877A7B3AC","Tour Eiffel","18","615014257","37"
ObjectID(5c2e95daaed964506ce1874e),"devlili80","FD35954AADE22E98C01EBA3A96DA007F","Tour Eiffel","12","615047763","14"
ObjectID(5c2e95dcaed964506ce1874f),"AJPROSI","3A809816D0B21656AAB663811ED25A38","Tour Eiffel","5","615056189","4"
ObjectID(5c2e95deaed964506ce18750),"radiobrunette","F63E009A6DDB7C6A574664B26C92729A","Tour Eiffel","5","615063370","8"
ObjectID(5c2e95e1aed964506ce18751),"745veroniqueb","3BDBF35C2FC09AAF9E84F935AD2C1672","Tour Eiffel","3","613348643","4"
ObjectID(5c2e95e4aed964506ce18752),"COTEDARGENT","5B4F42ABD1DF372F98C2D33A9CEEA29A","Tour Eiffel","16","613400670","23"
ObjectID(5c2e95e5aed964506ce18753),"113adelinef","5FEE8B840033C527E53EA71628A7A0A7","Tour Eiffel","4","613483363","11"
ObjectID(5c2e95e8aed964506ce18754),"floriansV3070RN","1E7FB4975671975321D34FC0F32FDC0C","Tour Eiffel","2","613498093","5"
ObjectID(5c2e95eaaed964506ce18755),"StoneCold666","902B1F169739D4B9B51DFB1F4CD2F835","Tour Eiffel","122","613508140","56"
ObjectID(5c2e95ecaed964506ce18756),"potemkine1","E9BD5E9F7BB5358D75ECE7C3CCCFFA9E","Tour Eiffel","88","613524350","95"
